lam_target,sparse_bin,n,median_q95_standard,median_q95_formula,median_nu_norm,median_a
0.1,"(0.0, 0.25]",104,0.9765585936611335,1.0621984694821691,1.0827540770818946,0.9673264237703618
0.1,"(0.25, 0.5]",78,1.0231299207670617,1.0810879738116759,1.2301623954946996,0.8204018408035973
0.1,"(0.5, 0.75]",61,1.1257259960202068,1.0330426799218762,1.3224153227895026,0.7056298250729856
0.1,"(0.75, 1.0]",179,1.4505111688816368,1.025537384185054,1.4495466564509871,0.4234121747846056
0.15,"(0.0, 0.25]",121,0.9795709984710443,1.030223343440539,1.0671223812811217,0.9703884231865536
0.15,"(0.25, 0.5]",79,1.0030544851278809,1.0646294908884941,1.2602332350298258,0.8295299965798643
0.15,"(0.5, 0.75]",48,1.064004022586441,1.074477226908876,1.425642824879933,0.701743917585431
0.15,"(0.75, 1.0]",182,1.2990714175287246,1.0849517810288605,1.8025947915318676,0.4649146804443058
0.2,"(0.0, 0.25]",36,0.9815929381596168,0.99949064154982,1.100972686216945,0.9498201150343598
0.2,"(0.25, 0.5]",20,0.9986607476892222,0.9974827650505405,1.4071758863769877,0.7599119044748003
0.2,"(0.5, 0.75]",13,1.022126462670631,0.9991840435873889,1.5164141854091164,0.6861059642132259
0.2,"(0.75, 1.0]",25,1.2256444863851652,1.1038984508032232,1.7885839482097583,0.5292801831064123
0.25,"(0.0, 0.25]",202,0.9700547024661907,1.0046686619304828,1.104855451952388,0.9446827836614642
0.25,"(0.25, 0.5]",84,0.9808134926777684,1.0581579804907484,1.3748789457839854,0.7657600117114851
0.25,"(0.5, 0.75]",47,1.033004258225598,1.0774230349345149,1.6729158115688807,0.5976179186724029
0.25,"(0.75, 1.0]",118,1.173444788154064,1.0857346690684118,2.188747089792631,0.40525838969218897
0.35,"(0.0, 0.25]",253,0.965521946384094,1.0031304413270028,1.117244200665718,0.9441117329447186
0.35,"(0.25, 0.5]",81,0.9608937466032519,1.0398293556860974,1.414750610312352,0.7789907669128409
0.35,"(0.5, 0.75]",49,0.9927818513793308,1.0651554878461829,1.6850651298346857,0.6379602956826228
0.35,"(0.75, 1.0]",94,1.0983515332429064,1.0579451796022348,2.5084080617684585,0.4208071216931911
0.5,"(0.0, 0.25]",316,0.955193125727615,1.002634551649495,1.1074711093903042,0.9495803689116148
0.5,"(0.25, 0.5]",78,0.9376254026015611,1.0400641708571348,1.465877452301997,0.7594739215405739
0.5,"(0.5, 0.75]",33,0.9543340224255176,1.0569980801931849,1.7896719206246672,0.6342217299630475
0.5,"(0.75, 1.0]",61,1.0119687008357192,1.0015120287142372,2.4752675431384996,0.4257058280834691
0.65,"(0.0, 0.25]",353,0.9475128519992255,1.003218090556815,1.1136592062080028,0.9606922184489524
0.65,"(0.25, 0.5]",76,0.9274628304322009,1.0535588709503716,1.5384229539038183,0.7401114520651271
0.65,"(0.5, 0.75]",4,0.9294408776641148,1.060359063077217,1.7430009030561098,0.6721078591660785
0.65,"(0.75, 1.0]",45,0.9619552516578266,0.9728384343242477,2.285239032389952,0.496819956650013
0.75,"(0.0, 0.25]",96,0.9426499589624349,0.9999878678877869,1.1420857099638129,0.9534459198841518
0.75,"(0.25, 0.5]",6,0.9154219520692521,1.023948262989404,1.6674510793380874,0.7396510511797103
0.75,"(0.75, 1.0]",13,0.9645632167698907,0.9681128842135991,2.076951257729337,0.5619009944080674
0.8,"(0.0, 0.25]",420,0.9391806728655214,1.0090014635891396,1.1161339505297092,0.9584727867469879
0.8,"(0.25, 0.5]",49,0.9184731072344063,1.053398473500864,1.5077265172213925,0.7694390041693631
0.8,"(0.5, 0.75]",1,0.9506813068136698,1.0035085866042692,1.7155185490719007,0.7232523134018997
0.8,"(0.75, 1.0]",15,0.9377959841343882,0.9777956995477134,2.2943514561833815,0.498859540095759
1.0,"(-0.002, 0.0]",276,0.9436220205918704,0.9885966192386615,1.1109187603462574,0.968065086272292
1.0,"(0.0, 0.25]",216,0.9358111510744295,1.0100674920545654,1.1025733373390243,0.9734554196854202
1.0,"(0.25, 0.5]",14,0.9188980848156514,1.0719015547792483,1.4056519243404408,0.8582680155962568
1.0,"(0.75, 1.0]",2,0.9107571531021363,0.9500355532539804,1.9856271772556084,0.5949555944229288
1.25,"(-0.002, 0.0]",494,0.9403338311209843,0.9954577368051061,1.0717352838281566,0.9973091325086175
1.5,"(-0.002, 0.0]",122,0.9397116235563707,0.9976441671661883,1.0559284381868568,1.0150101164620757
1.6,"(-0.002, 0.0]",497,0.9463441152204396,1.0034593406080443,1.035118987338432,1.0156614811379194
2.0,"(-0.002, 0.0]",522,0.9558003666825587,1.0075425477596913,1.0157210460992698,1.034081684325988
2.5,"(-0.002, 0.0]",506,0.9594565134497521,1.0081706996982942,1.0022945484309695,1.0455746158494477
3.0,"(-0.002, 0.0]",126,0.9640481590421921,1.0067649701334962,0.9902301715243884,1.0496921641644832
3.2,"(-0.002, 0.0]",506,0.9693229116291201,1.0099427696149923,0.9886353262376328,1.0442122587960412
4.0,"(-0.002, 0.0]",506,0.97570562290361,1.0076634273053355,0.9878688543942338,1.0384494011905998
5.0,"(-0.002, 0.0]",524,0.9827721610100633,0.9992327966187515,0.9926610677595917,1.027887099060345
7.5,"(-0.002, 0.0]",505,0.9896606557898459,0.9988072321414025,0.9973973425348154,1.0142460733676206
8.0,"(-0.002, 0.0]",126,0.9889514378699993,0.9932713065166356,0.9915365175231245,1.0176047511131134
10.0,"(-0.002, 0.0]",505,0.9925048983319956,1.0003865048327554,0.9988557041648098,1.010131922912104
12.0,"(-0.002, 0.0]",126,0.9956635415132065,1.0000970479564446,1.0028221651449212,1.0089194616292412
15.0,"(-0.002, 0.0]",505,0.9952980900886472,1.0016526958465044,0.9998111507052324,1.0056130249744712
20.0,"(-0.002, 0.0]",126,0.9966186563432052,0.9991115992657493,1.0034102835537841,1.0024903164203656
22.0,"(-0.002, 0.0]",504,0.9964960065613775,1.0018841314498226,1.0001492835627543,1.0037200220221827
30.0,"(-0.002, 0.0]",522,0.9974467305278383,1.0018051054913109,0.9987890585165292,1.0037427362270535
