config,p_x,p_y,kx,ky,nu0,Sx,Sy,Sxy,mean_c1,mean_order1,lam_min,lam_tp,frac_lt1,frac_lt5,n_lt1,n_lt5,inv_lam_min,inv_lam_tp,N,n_tables,prob_sum,mu,sigma2,nu,a,mean_resid_order1,mean_c1_emp,var_c1_emp,nu_norm
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.1875,2.0,0.5,0.0,1.0,0,4,0.5,2.0,8,165,1.000000000000001,1.370742885644661,2.9390808071043075,1.2785875461496077,1.0720758932562529,0.18324288564466107,2.9659430851572886,7.51264645683446,1.2785875461496077
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.15,2.5,0.625,0.0,1.0,0,4,0.4,1.6,10,286,1.000000000000001,1.299167860947439,3.0186841626740843,1.1182601689761298,1.161776031186863,0.14916786094743917,2.991678609474391,10.186841626740843,1.1182601689761298
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.125,3.0,0.75,0.0,1.0,0,4,0.3333333333333333,1.3333333333333333,12,455,1.0000000000000016,1.2364652136775844,2.964391936119829,1.0314737440798072,1.1987364882279703,0.11146521367758444,2.8375825641310133,11.57270323343795,1.0314737440798072
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.1,3.75,0.9375,0.0,1.0,0,4,0.26666666666666666,1.0666666666666667,15,816,0.9999999999999999,1.1691087960729885,2.792380784885683,0.9789605948109891,1.194234785618426,0.06910879607298837,2.536631941094827,11.885711773285248,0.9789605948109891
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.075,5.0,1.25,0.0,0.0,0,0,0.2,0.8,20,1771,1.0000000000000013,1.1074877335603794,2.5271851267329977,0.9706681691121644,1.140954003440083,0.032487733560379484,2.149754671207589,10.543702534659953,0.9706681691121644
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.05,7.5,1.875,0.0,0.0,0,0,0.13333333333333333,0.5333333333333333,30,5456,0.9999999999999848,1.0606545146952473,2.273737072000509,0.9895497710767491,1.0718556516274342,0.010654514695247252,1.819635440857419,8.212112160015263,0.9895497710767491
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.0375,10.0,2.5,0.0,0.0,0,0,0.1,0.4,40,12341,1.0000000000000118,1.0427521446591312,2.183269812102499,0.9960583242289343,1.0468786006746578,0.005252144659131153,1.7100857863652497,7.330792484099966,0.9960583242289343
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.025,15.0,3.75,0.0,0.0,0,0,0.06666666666666667,0.26666666666666666,60,39711,1.0000000000000426,1.0271255950082905,2.112640426113915,0.9987378589187794,1.0284236106962474,0.0021255950082905706,1.627535700497429,6.758425566834907,0.9987378589187794
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.01875,20.0,5.0,0.0,0.0,0,0,0.05,0.2,80,91881,1.000000000000022,1.019900532456118,2.081712063492315,0.9993669291220043,1.0205466107950494,0.0011505324561178476,1.5920425964894314,6.536965079385197,0.9993669291220043
b_sym_0p5,"0.5,0.5","0.5,0.5",2,2,1,4.0,4.0,16.0,1.5,1.0125,30.0,7.5,0.0,0.0,0,0,0.03333333333333333,0.13333333333333333,120,302621,0.9999999999999437,1.0129935732670399,2.05283471899443,0.9997453472367056,1.0132516005870418,0.0004935732670399151,1.5592287920447845,6.340166279331605,0.9997453472367056
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.57421875,0.32000000000000006,0.20480000000000004,0.25,0.75,1,3,3.1249999999999996,4.882812499999999,8,165,1.0000000000000024,0.9180309921903778,1.750049416501891,0.963150976966871,0.9531537776989191,-0.6561877578096222,-0.6557520624769779,-1.9996046679848725,0.963150976966871
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.459375,0.4000000000000001,0.25600000000000006,0.25,0.75,1,3,2.4999999999999996,3.906249999999999,10,286,1.0000000000000027,1.0109770634448694,1.808959214180461,1.1300140045165767,0.8946588798050942,-0.4483979365551307,0.10977063444869373,-1.910407858195391,1.1300140045165767
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.3828125,0.4800000000000001,0.30720000000000003,0.25,0.75,1,3,2.083333333333333,3.2552083333333326,12,455,1.0000000000000049,1.0738301644321948,1.8305888924409823,1.2598254330133827,0.8523642532471306,-0.3089823355678052,0.8859619731863377,-2.032933290708212,1.2598254330133827
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.30625,0.6000000000000001,0.38400000000000006,0.25,0.75,1,3,1.6666666666666665,2.604166666666666,15,816,1.000000000000001,1.131976199476102,1.8422376855154103,1.3911018390896346,0.8137263338080913,-0.17427380052389796,1.9796429921415293,-2.366434717268845,1.3911018390896346
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.2296875,0.8000000000000002,0.5120000000000001,0.25,0.75,1,3,1.2499999999999998,1.9531249999999996,20,1771,1.0000000000000042,1.1764434455066777,1.8757583937783164,1.475690243547636,0.7972157101740039,-0.05324405449332237,3.5288689101335535,-2.4848321244336713,1.475690243547636
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.153125,1.2000000000000002,0.7680000000000001,0.0,0.75,0,3,0.8333333333333333,1.302083333333333,30,5456,0.9999999999999967,1.1902930781778385,2.0370210109133806,1.3910485992707513,0.855680440497796,0.037168078177838515,5.708792345335154,1.1106303274014184,1.3910485992707513
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.11484375,1.6000000000000003,1.0240000000000002,0.0,0.25,0,1,0.6249999999999999,0.9765624999999998,40,12341,1.0000000000000122,1.1740690606246431,2.215464076929527,1.2443787046427288,0.9434981941142491,0.0592253106246432,6.9627624249857245,8.618563077181083,1.2443787046427288
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.0765625,2.4000000000000004,1.5360000000000003,0.0,0.25,0,1,0.41666666666666663,0.6510416666666665,60,39711,1.000000000000051,1.1285799996802544,2.3968884346925146,1.0627885697497463,1.0619045328517223,0.052017499680254264,7.714799980815261,23.813306081550873,1.0627885697497463
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.057421875,3.2000000000000006,2.0480000000000005,0.0,0.25,0,1,0.31249999999999994,0.4882812499999999,80,91881,1.0000000000000555,1.0923827841050098,2.3972044219857485,0.9955764607012781,1.0972364526734006,0.03496090910500982,7.390622728400782,31.776353758859877,0.9955764607012781
b_sym_0p2,"0.8,0.2","0.8,0.2",2,2,1,6.25,6.25,39.0625,4.59375,1.03828125,4.800000000000001,3.0720000000000005,0.0,0.25,0,1,0.20833333333333331,0.32552083333333326,120,302621,1.0000000000000004,1.0526817501364245,2.2691474911236234,0.976700607964063,1.0777936878023906,0.014400500136424466,6.321810016370941,32.2976989348348,0.976700607964063
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,3.1298868312757198,0.08000000000000002,0.06480000000000001,0.75,0.75,3,3,12.499999999999998,15.432098765432096,8,165,1.000000000000001,0.3853835151782598,1.088166965567679,0.27297364921139894,1.4117974987388153,-2.74450331609746,-4.916931878573921,-7.294664275458569,0.27297364921139894
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,2.7039094650205757,0.10000000000000002,0.08100000000000002,0.75,0.75,3,3,9.999999999999998,12.345679012345677,10,286,1.0000000000000013,0.4629566811856274,1.2671907211750102,0.33827408151422206,1.3685845486987547,-2.240952783834948,-5.370433188143727,-7.328092788249898,0.33827408151422206
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,2.4199245541838135,0.12000000000000002,0.09720000000000002,0.25,0.75,1,3,8.333333333333332,10.288065843621398,12,455,1.0000000000000024,0.5304717374131939,1.3903664613707476,0.404785748236106,1.3105000354503018,-1.8894528167706195,-5.634339151041674,-7.315602463551029,0.404785748236106
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,2.1359396433470508,0.15000000000000002,0.12150000000000002,0.25,0.75,1,3,6.666666666666666,8.230452674897117,15,816,1.0000000000000007,0.615944648030328,1.495158594053971,0.5074883841031647,1.2137118155301774,-1.5199949953167229,-5.76083027954508,-7.572621089190436,0.5074883841031647
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.8519547325102879,0.20000000000000004,0.16200000000000003,0.25,0.75,1,3,4.999999999999999,6.1728395061728385,20,1771,1.0000000000000013,0.7262728984705743,1.5350025318467704,0.6872592221958671,1.0567670465738592,-1.1256818340397134,-5.474542030588514,-9.299949363064592,0.6872592221958671
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.5679698216735254,0.30000000000000004,0.24300000000000005,0.25,0.75,1,3,3.333333333333333,4.115226337448559,30,5456,0.9999999999999941,0.8721178611535974,1.4242322871051707,1.0680695426292643,0.8165365890002882,-0.695851960519928,-3.8364641653920795,-17.273031386844877,1.0680695426292643
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.425977366255144,0.4000000000000001,0.32400000000000007,0.25,0.75,1,3,2.4999999999999996,3.0864197530864192,40,12341,1.000000000000013,0.9640231488938426,1.3043166853679011,1.4250229902426892,0.6764965586482672,-0.4619542173613015,-1.439074044246298,-27.827332585283955,1.4250229902426892
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.2839849108367627,0.6000000000000001,0.4860000000000001,0.25,0.25,1,1,1.6666666666666665,2.0576131687242794,60,39711,1.0000000000000442,1.0719496123890027,1.257257165844137,1.827909202218673,0.5864348246006397,-0.21203529844776003,4.31697674334016,-44.56457004935179,1.827909202218673
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.212988683127572,0.8000000000000002,0.6480000000000001,0.25,0.25,1,1,1.2499999999999998,1.5432098765432096,80,91881,1.0000000000000433,1.1272228499360075,1.3848075799208548,1.8351016731010017,0.614256346914663,-0.0857658331915645,10.177827994880602,-49.21539360633162,1.8351016731010017
b_sym_0p1,"0.9,0.1","0.9,0.1",2,2,1,11.11111111111111,11.11111111111111,123.45679012345678,17.039094650205758,1.1419924554183813,1.2000000000000002,0.9720000000000002,0.0,0.25,0,1,0.8333333333333333,1.0288065843621397,120,302621,1.0000000000000209,1.1638726169897962,1.762540287660151,1.537099013353013,0.7571877978445486,0.021880161571414813,19.66471403877554,-28.49516548078188,1.537099013353013
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.6319444444444444,0.4,0.18,0.5,1.0,2,4,2.5,5.555555555555555,8,165,1.0000000000000004,0.8018912449327309,1.247660085461836,1.0307768537161146,0.7779484396082288,-0.8300531995117135,-1.5848700405381528,-6.018719316305312,1.0307768537161146
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.5055555555555555,0.5,0.225,0.5,1.0,2,4,2.0,4.444444444444445,10,286,1.0000000000000004,0.9061660156022157,1.2976892537325067,1.2655369464925172,0.7160328413276977,-0.5993895399533399,-0.9383398439778434,-7.0231074626749335,1.2655369464925172
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.4212962962962963,0.6000000000000001,0.27,0.5,0.5,2,2,1.6666666666666665,3.7037037037037037,12,455,1.0000000000000013,0.9900154530627817,1.3701670711525982,1.430673117079962,0.6919927698672543,-0.43128084323351457,-0.11981456324661943,-7.557995146168822,1.430673117079962
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.337037037037037,0.75,0.3375,0.5,0.5,2,2,1.3333333333333333,2.962962962962963,15,816,0.9999999999999977,1.0841375877598218,1.505409695209849,1.5615075589503824,0.6942890423716935,-0.2528994492772152,1.2620638163973275,-7.418854571852265,1.5615075589503824
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.2527777777777778,1.0,0.45,0.0,0.5,0,2,1.0,2.2222222222222223,20,1771,1.0000000000000007,1.178382714896579,1.7563154374255319,1.581248781599813,0.7452228445067082,-0.07439506288119868,3.5676542979315817,-4.873691251489363,1.581248781599813
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.1685185185185185,1.5,0.675,0.0,0.5,0,2,0.6666666666666666,1.4814814814814814,30,5456,0.9999999999999909,1.234935522854705,2.199867182954348,1.3865071104522877,0.8906809878903981,0.06641700433618647,7.048065685641149,5.996015488630437,1.3865071104522877
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.1263888888888889,2.0,0.9,0.0,0.5,0,2,0.5,1.1111111111111112,40,12341,1.0000000000000049,1.2194405062287854,2.4696122604309108,1.2042660882903544,1.0126005523911858,0.09305161733989653,8.777620249151417,18.78449041723643,1.2042660882903544
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.0842592592592593,3.0,1.35,0.0,0.5,0,2,0.3333333333333333,0.7407407407407407,60,39711,1.00000000000003,1.1526100765011507,2.59316849240662,1.0246229601679677,1.1249114272358312,0.0683508172418914,9.15660459006904,35.590109544397194,1.0246229601679677
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.0631944444444446,4.0,1.8,0.0,0.5,0,2,0.25,0.5555555555555556,80,91881,1.0000000000000435,1.1030798493640388,2.493175842579197,0.9760925268826792,1.1300976280260189,0.03988540491959425,8.246387949123104,39.45406740633576,0.9760925268826792
b_asym_0p5_0p1,"0.5,0.5","0.9,0.1",2,2,1,4.0,11.11111111111111,44.44444444444444,5.055555555555555,1.0421296296296296,6.0,2.7,0.0,0.0,0,0,0.16666666666666666,0.37037037037037035,120,302621,0.9999999999999476,1.0561939709296375,2.280105238887213,0.9785036981648699,1.0793970149632255,0.014064341300007888,6.743276511556502,33.612628666465554,0.9785036981648699
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,3.1932565789473686,0.08000000000000002,0.06080000000000001,0.5,0.75,2,3,12.499999999999998,16.44736842105263,8,165,1.0000000000000002,0.348623712542766,0.8747174242220388,0.277892013081129,1.254529443568381,-2.8446328664046026,-5.211010299657872,-9.00226060622369,0.277892013081129
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,2.754605263157895,0.10000000000000002,0.07600000000000001,0.5,0.75,2,3,9.999999999999998,13.157894736842104,10,286,1.0000000000000007,0.4187388081153117,0.9927209530998782,0.3532557439717717,1.1853701327182744,-2.335866455042583,-5.8126119188468826,-10.072790469001218,0.3532557439717717
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,2.4621710526315788,0.12000000000000002,0.0912,0.5,0.75,2,3,8.333333333333332,10.964912280701753,12,455,1.000000000000002,0.48173970621038936,1.076397795709347,0.43120330692750236,1.1171985429401718,-1.9804313464211893,-6.219123525475327,-11.083226451487837,0.43120330692750236
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,2.169736842105263,0.15000000000000002,0.114,0.5,0.75,2,3,6.666666666666666,8.771929824561402,15,816,0.999999999999999,0.5653059767810117,1.1604153301971902,0.5507870140426856,1.0263603940691326,-1.6044308653242516,-6.520410348284825,-12.593770047042147,0.5507870140426856
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.8773026315789474,0.20000000000000004,0.15200000000000002,0.5,0.75,2,3,4.999999999999999,6.578947368421052,20,1771,0.9999999999999999,0.681501163838426,1.2405497598964883,0.7487709906160996,0.9101596781649846,-1.1958014677405213,-6.369976723231481,-15.189004802070233,0.7487709906160996
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.5848684210526316,0.30000000000000004,0.228,0.25,0.5,1,2,3.333333333333333,4.385964912280701,30,5456,0.9999999999999923,0.8511288560400381,1.3147851342419377,1.101960024824438,0.7723772522289437,-0.7337395650125935,-4.466134318798858,-20.55644597274187,1.101960024824438
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.4386513157894738,0.4000000000000001,0.30400000000000005,0.25,0.5,1,2,2.4999999999999996,3.289473684210526,40,12341,1.0000000000000104,0.9633170353586407,1.3558751299903509,1.3688276893444673,0.7037533232688872,-0.47533428043083314,-1.4673185856543736,-25.764994800385963,1.3688276893444673
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.2924342105263158,0.6000000000000001,0.456,0.25,0.5,1,2,1.6666666666666665,2.1929824561403506,60,39711,1.0000000000000377,1.0881929927923235,1.4432080167419266,1.6410163688469384,0.6631213517735617,-0.2042412177339923,5.291579567539411,-33.40751899548441,1.6410163688469384
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.219325657894737,0.8000000000000002,0.6080000000000001,0.25,0.5,1,2,1.2499999999999998,1.644736842105263,80,91881,1.0000000000000335,1.1439702656529476,1.5690601991233848,1.668091472117147,0.6857958839637354,-0.07535539224178933,11.517621252235806,-34.47518407012922,1.668091472117147
b_asym_0p2_0p05,"0.8,0.2","0.95,0.05",2,2,1,6.25,21.05263157894737,131.57894736842107,17.54605263157895,1.1462171052631578,1.2000000000000002,0.912,0.0,0.5,0,2,0.8333333333333333,1.0964912280701753,120,302621,0.9999999999999903,1.1738175842619136,1.8699598860762205,1.4736655383700705,0.7965291673714512,0.02760047899875584,20.858110111429635,-15.604813670853535,1.4736655383700705
