p,p0,p1,p2,N,lam,mu,sigma2,nu,a,nu_norm
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,10,1.111111111111111,5.165794856727899,7.533501264369763,7.084471234645466,0.7291715479717683,1.7711178086613666
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,20,2.222222222222222,5.039547466615525,10.663065280380524,4.763553068553404,1.0579387684130357,1.190888267138351
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,30,3.333333333333333,4.623233445608438,10.848900020512945,3.9403603042111683,1.17330220809185,0.9850900760527921
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,50,5.5555555555555545,4.197115415735063,9.100967779625567,3.87118782080243,1.0841931753301173,0.9677969552006075
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,75,8.333333333333332,4.183819762847031,9.269270601237501,3.77685549619243,1.1077521411832871,0.9442138740481075
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,100,11.111111111111109,4.176952332156991,8.712866728945235,4.004865752657695,1.0429693752868237,1.0012164381644237
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,150,16.666666666666664,4.063687041419186,8.563532382834998,3.8567151106238544,1.0536653408039394,0.9641787776559636
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,200,22.222222222222218,4.085551634701865,8.188246489115281,4.076997970689712,1.0020980299901168,1.019249492672428
0.25,0.25,0.25,0.5,10,0.625,4.679666009328579,7.339332448582272,5.9676473609246345,0.7841726774893591,1.4919118402311586
0.25,0.25,0.25,0.5,20,1.25,4.8883191733861375,8.890195520897137,5.37573426472473,0.9093305086642799,1.3439335661811824
0.25,0.25,0.25,0.5,30,1.875,4.827478575767053,9.931203060455005,4.69319764335222,1.02861182132507,1.173299410838055
0.25,0.25,0.25,0.5,50,3.125,4.403282870140248,10.297695746121256,3.765677392784417,1.1693202605665518,0.9414193481961043
0.25,0.25,0.25,0.5,75,4.6875,4.23446839617961,8.813115356079818,4.069099716452531,1.0406401148289501,1.0172749291131327
0.25,0.25,0.25,0.5,100,6.25,4.068210934733955,8.367510127182511,3.9558578257883057,1.0284017054943728,0.9889644564470764
0.25,0.25,0.25,0.5,150,9.375,4.123269395514465,8.408954864819606,4.043629863947652,1.019695059697938,1.010907465986913
0.25,0.25,0.25,0.5,200,12.5,4.0810950021883245,8.450386900519549,3.9419109711680806,1.0353087708064093,0.9854777427920202
0.25,0.25,0.25,0.5,300,18.75,4.0723194892143635,7.994865214925057,4.148609282687097,0.9816107547676024,1.0371523206717743
0.15,0.15,0.15,0.7,10,0.22499999999999998,2.9743807006945002,5.68223136494176,3.1138966312592524,0.955195709079035,0.7784741578148131
0.15,0.15,0.15,0.7,20,0.44999999999999996,4.191359109847364,6.463262853991318,5.4361060611520315,0.7710223205172568,1.3590265152880079
0.15,0.15,0.15,0.7,30,0.6749999999999999,4.531173613408024,6.188751429545341,6.635113576165551,0.6829082217499283,1.6587783940413878
0.15,0.15,0.15,0.7,50,1.125,4.660240035431684,7.613185311038951,5.70532209595632,0.8168233023574001,1.42633052398908
0.15,0.15,0.15,0.7,75,1.6875,4.5834606271772875,8.950548908101737,4.694262114331016,0.9763963995927145,1.173565528582754
0.15,0.15,0.15,0.7,100,2.25,4.573501542035729,9.494338369954676,4.406187253910362,1.0379725777602575,1.1015468134775905
0.15,0.15,0.15,0.7,150,3.375,4.310086805614667,9.480332640400828,3.919028788666684,1.099784420588813,0.979757197166671
0.15,0.15,0.15,0.7,200,4.5,4.31682122629208,9.326466054874302,3.9961428884473675,1.0802469648349604,0.9990357221118419
0.15,0.15,0.15,0.7,300,6.75,4.025981359657625,8.169232612784395,3.9681881215979136,1.0145641376589878,0.9920470303994784
0.15,0.15,0.15,0.7,500,11.25,4.066432148418367,8.096566164761827,4.084662579466945,0.9955368575264405,1.0211656448667363
0.15,0.15,0.15,0.7,750,16.875,4.140700280628646,8.723028071592925,3.931065834772031,1.05332763547288,0.9827664586930077
0.15,0.15,0.15,0.7,1000,22.5,4.007251033207407,8.115665671544804,3.95729974423286,1.0126225689745494,0.989324936058215
0.1,0.1,0.1,0.8,10,0.1,1.8336215025720786,4.79974025286447,1.4009790686852923,1.3088143453083756,0.3502447671713231
0.1,0.1,0.1,0.8,20,0.2,2.843606191778884,5.699638898927172,2.8374064804158845,1.0021849923180872,0.7093516201039711
0.1,0.1,0.1,0.8,30,0.30000000000000004,3.454740974944116,5.254545508945881,4.542823040979679,0.7604832818227246,1.1357057602449196
0.1,0.1,0.1,0.8,50,0.5,4.180887226622729,5.044657685754045,6.930031368074608,0.6032998993169518,1.732507842018652
0.1,0.1,0.1,0.8,75,0.75,4.408370376797516,5.20114241395152,7.472869547619743,0.5899166777508741,1.8682173869049357
0.1,0.1,0.1,0.8,100,1.0,4.586822820384119,5.913691261684693,7.115333775339143,0.6446391645436892,1.7788334438347857
0.1,0.1,0.1,0.8,150,1.5,4.722790846866967,8.239590690496145,5.414044027448486,0.8723222092253116,1.3535110068621214
0.1,0.1,0.1,0.8,200,2.0,4.579471786761195,9.029587127021756,4.6450765800758935,0.985876488323982,1.1612691450189734
0.1,0.1,0.1,0.8,300,3.0,4.390775225734765,9.416160658633789,4.094855171199552,1.0722663054401813,1.023713792799888
0.1,0.1,0.1,0.8,500,5.0,4.198376682114324,8.778850128944473,4.015643622119925,1.0455052980767081,1.0039109055299813
0.1,0.1,0.1,0.8,750,7.5,4.033270451272847,8.283733990386782,3.927521224604443,1.026925182735086,0.9818803061511108
0.1,0.1,0.1,0.8,1000,10.0,4.132634026949815,8.77214553269319,3.8938396398127293,1.061326199645081,0.9734599099531823
0.1,0.1,0.1,0.8,1500,15.0,4.071357267821714,8.11863671912058,4.083431880430343,0.9970430233778366,1.0208579701075857
0.1,0.1,0.1,0.8,2500,25.0,4.089105370733425,8.535950025629152,3.9177321054497436,1.043742976975198,0.9794330263624359
0.05,0.05,0.05,0.9,10,0.025,0.6145743958389278,2.1201949949983896,0.35628957611143686,1.7249294872626502,0.08907239402785921
0.05,0.05,0.05,0.9,20,0.05,1.103522273917243,3.7249068526545366,0.6538479791319619,1.6877352368393972,0.16346199478299048
0.05,0.05,0.05,0.9,30,0.07500000000000001,1.6355258102291834,5.026948952369025,1.0642418298937446,1.5367990284618644,0.26606045747343615
0.05,0.05,0.05,0.9,50,0.125,2.292906515307104,5.744157594449048,1.8305278716650648,1.252593063891158,0.4576319679162662
0.05,0.05,0.05,0.9,75,0.1875,2.808856353873892,5.102233871161198,3.092635193103037,0.9082404417236124,0.7731587982757593
0.05,0.05,0.05,0.9,100,0.25,3.2082701887264853,4.4885249146773525,4.586360908998526,0.6995241439529538,1.1465902272496316
0.05,0.05,0.05,0.9,150,0.375,3.7802959264067906,4.099334772881294,6.972173819882163,0.5421976020773793,1.7430434549705407
0.05,0.05,0.05,0.9,200,0.5,4.096495929028504,4.093867560637072,8.198251969800246,0.4996791930912458,2.0495629924500616
0.05,0.05,0.05,0.9,300,0.75,4.464742621877225,5.101170409122856,7.815432569732461,0.5712726176114987,1.9538581424331152
0.05,0.05,0.05,0.9,500,1.25,4.676983618328653,7.115166403764273,6.148605534943516,0.7606576144377131,1.537151383735879
0.05,0.05,0.05,0.9,750,1.875,4.609502410163197,8.685937101184066,4.892393813536564,0.942177303349815,1.223098453384141
0.05,0.05,0.05,0.9,1000,2.5,4.342568748937929,9.47010739066562,3.9826165768383923,1.0903808250567988,0.9956541442095981
0.05,0.05,0.05,0.9,1500,3.75,4.3382563969341685,9.85242990137048,3.8204724629245614,1.1355287700760563,0.9551181157311404
0.05,0.05,0.05,0.9,2500,6.25,4.201699255423767,8.77302731193184,4.024671531346488,1.0439856327897779,1.006167882836622
0.05,0.05,0.05,0.9,5000,12.5,4.0092695655724695,8.264196940265899,3.8900918179010557,1.0306362300043903,0.9725229544752639
0.03,0.03,0.03,0.94,30,0.026999999999999996,0.7934276815041758,3.5879683880373876,0.3509102743914877,2.261055715396353,0.08772756859787192
0.03,0.03,0.03,0.94,50,0.045,1.1467305886211872,4.2376550523558665,0.6206220311152713,1.847711700727877,0.1551555077788178
0.03,0.03,0.03,0.94,75,0.0675,1.5110214548080998,4.477078565955673,1.0199445032088774,1.481474188109481,0.25498612580221935
0.03,0.03,0.03,0.94,100,0.09,1.9102067381580359,5.6014727391706876,1.3028322915821566,1.466195419395297,0.32570807289553916
0.03,0.03,0.03,0.94,150,0.135,2.2799040695703976,4.316011782716091,2.4086878480079372,0.946533637165128,0.6021719620019843
0.03,0.03,0.03,0.94,200,0.18,2.6709485845816254,3.9959622991638755,3.570587411683697,0.748041786021463,0.8926468529209243
0.03,0.03,0.03,0.94,300,0.27,3.1975290113139367,3.371582087839105,6.0649223491082855,0.5272168095909857,1.5162305872770714
0.03,0.03,0.03,0.94,500,0.44999999999999996,3.881757574964447,3.184883013966861,9.462226276265135,0.4102372382175401,2.3655565690662836
0.03,0.03,0.03,0.94,750,0.6749999999999999,4.3471246529053404,4.079533764867843,9.264535526406931,0.469222082479432,2.3161338816017327
0.03,0.03,0.03,0.94,1000,0.8999999999999999,4.5004343103781626,5.36454470752538,7.551026260855575,0.5960030007720086,1.8877565652138937
0.03,0.03,0.03,0.94,1500,1.3499999999999999,4.709053212095669,7.529598631681867,5.890136576747471,0.7994811581594946,1.4725341441868678
0.03,0.03,0.03,0.94,2500,2.25,4.523065383947628,9.54386205780836,4.287178574784071,1.0550214564308038,1.0717946436960177
0.03,0.03,0.03,0.94,5000,4.5,4.183332590531667,8.906726787740379,3.9296751724982864,1.0645492074786727,0.9824187931245716
